Beacon1,Beacon2,Beacon3,Beacon4,Beacon5,Beacon6,Beacon7,Beacon8,Beacon9,Beacon10,Target
-84.98959044,-83.14203539,-81.68336294,-93.98882948,-97.98751362,-83.14203539,-84.98959044,,,,0
-64.69427907,-81.98964511,-97.98751362,-87.97923646,-82.01643065,-81.98964511,-64.69427907,-88.98942473,-88.98942473,,0
-77.97938372,-85.98956206,,,,-85.98956206,-77.97938372,,,,0
-80.00822061,,-84.74567943,-91.53392444,-87.98948135,,-80.00822061,-93.19905821,-93.19905821,,0
-76.74572714,-92.98918139,-96.98839736,-97.98806012,-90.19942066,-92.98918139,-76.74572714,-90.98937279,-90.98937279,,0
-70.81046545,,-89.65750302,-95.98832037,-88.97919409,,-70.81046545,-97.44923259,-97.44923259,-96.53312239,0
-78.86525395,-86.39227826,-83.85495296,-94.79560336,,-86.39227826,-78.86525395,-95.98832037,-95.98832037,,0
-79.98966538,,-83.90001924,-87.98948135,-88.98942473,,-79.98966538,-78.86127308,-78.86127308,,0
-84.53422139,,,-90.98926371,,,-84.53422139,,,-98.98694767,0
-80.22532397,-76.52634363,-84.98959044,-83.19097795,-100.9853386,-76.52634363,-80.22532397,-89.98935344,-89.98935344,-98.98694767,0
,,-92.38059726,-92.53382839,-95.98832037,,,-95.98832037,-95.98832037,-101.9842101,0
-76.55342343,-85.46245135,-86.14199974,-84.86519413,,-85.46245135,-76.55342343,-100.9853386,-100.9853386,,0
-64.98349516,-81.98964511,-101.9842101,-85.53493904,-87.01634101,-81.98964511,-64.98349516,-92.86477001,-92.86477001,,0
-78.24083685,-80.01644595,-94.9886041,-81.54187712,-92.98900852,-80.01644595,-78.24083685,-89.35055531,-89.35055531,-98.98694767,0
-81.53425831,-88.98942473,,-84.00138151,-102.9827897,-88.98942473,-81.53425831,-93.98882948,-93.98882948,,0
-74.64272965,,-74.75089324,-85.45058972,-89.45052805,,-74.64272965,-93.98882948,-93.98882948,,0
-90.98926371,-99.9862353,-84.98959044,-93.98882948,,-99.9862353,-90.98926371,,,-99.9862353,0
-82.98963089,-76.85894741,-88.01630707,,-97.98751362,-76.85894741,-82.98963089,-91.98915073,-91.98915073,-99.9862353,0
-79.86524875,,-88.97919409,-91.97898907,-89.53406134,,-79.86524875,,,,0
-80.98965641,,-86.98952633,-87.98948135,,,-80.98965641,-97.98751362,-97.98751362,-97.98751362,0
-87.98948135,,-86.98952633,-93.98882948,-85.88160207,,-87.98948135,,,,0
-70.7015315,,-99.9862353,,,,-70.7015315,,,,0
